球場,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
東京ドーム,.230,26,81,74,11,17,5,0,0,22,4,16,7,1,0,0,0,0,0,1,.296,.297,0.594
甲子園,.182,3,11,11,1,2,0,0,1,5,1,2,0,0,0,0,0,0,0,0,.182,.455,0.636
横浜,.100,3,13,10,1,1,0,0,1,4,1,2,2,0,1,0,0,0,0,0,.308,.400,0.708
マツダスタジアム,.111,6,20,18,0,2,1,0,0,3,0,5,2,0,0,0,0,0,1,1,.200,.167,0.367
神宮,.176,6,18,17,1,3,1,0,0,4,1,5,1,0,0,0,0,0,1,1,.222,.235,0.458
バンテリンドーム,.333,5,17,12,0,4,1,0,0,5,1,3,5,0,0,0,0,0,1,0,.529,.417,0.946
Ce その他,.286,2,7,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.286,.286,0.571
みずほPayPay,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
エスコンＦ,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ZOZOマリン,.333,1,4,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,.500,.333,0.833
楽天モバイル,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
京セラD大阪,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
ベルーナドーム,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
Pa その他,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
